,review_id,user_id,business_id,text,stars
92,6d5jxtBwwmU80KuMpgFhxQ,6BwkvJif0MRzap3782JQ1w,KkdLjGfVsfGESNkE0ktURg,This is the best cheesesteak in the city hands down.  And it has been for a long time.  Even before it was called joes.  Everything is on point about this place you can't go wrong.,5.0
32,NcMGqUjOuWL9MzTXjNL3IA,SA8JziHSNVhKwhq1aOxpUA,3Wy21heeDm8h2tSZfcj6OA,"This was my first time at Lure and I can't wait to go back! We were there on a Saturday night and for such a busy restaurant they really know about great service, not to mention the food was amazing, and the restaurant itself has a beautiful look. There were four of us dining, each had something different and all enjoyed our meal. Oysters, fish, clam chowder and lobster ravioli were delicious, and the staff were so helpful, sometimes at a busy restaurant you don't get much attention, but not here, we had a great experience and will return again.",5.0
17,7-9Zb4DOedAWE-xQB_y5_Q,TlSXysnwyqkMSTqWpQkg_Q,F6KGWi35Y79rC-x3LiISiA,"They have everything here.   It astonishes me time and time again how this deli carries things that usually require a trip to the grocery shop.  They have typical deli stuff and then all the random crap I need at the last minute like baking pans, batteries, greek yogurt, good cheese, Green & Black's chocolate, etc.  They make their own KimChi too.  I hope they start making more Korean food like bibimbap.  The staff are incredibly friendly.  Their flower selection is good too.  Oh- we got a lottery ticket here that won us $12 so it's lucky.",5.0
5,tOCR0f_8dl7fyzuYjHvqvg,nvoJSzTCvBZy9azamcqEyg,VTJaTUZ91_OEASP9RFMK0A,"We were Five diners and our server was Diane, she was great as were Thom and Anita on other nights we've dined here.

As I've said before Harold Seltzers is the finest dinning you will find in the Port Richey, Hudson area. They great you as an old Friend the first time you go there and every time after that. None of the staff seams to ever have a bad day. Everyone smiles and they are cheer full to the guest and one another. Harold's is a very well run ship.

Our food is always fresh, hot, and plentiful. There is always something to take home.

Do yourself and your Friends a big favor; Make Harold Seltzers a must. You won't be sorry.",5.0
80,nddxm0CLzD2EeNVbQnYIyQ,nZ48MywWQfDU1CAlV5h8Tg,n9uQrKjd7Yn35NA3vGRtpw,"CHOCOLATE FONDUE FOUNTAIN. Need I say more?! Well...I guess I probably should. But the fondue fountain really is cool. They have strawberries, marshmallows, and wafers you can dip into that ooey gooey chocolatey goodness. The buffet is fantastic too. There are typical things like sweet and sour chicken and beef and broccoli to prime rib, crab legs, and sushi. During lunch it usually runs about $20/person which is a steal for everything you get. Love this place!",5.0
33,8-9Alt_iybadYTs5WIlxoQ,JRXbWVcU-uugX2DATU3nRA,a1q-brGFeR1tlfhRFcVQbQ,"I just moved to the area and needed to have my dog groomed for the summer. I called on a Tuesday and was able to get an appointment that Saturday. I've never had such an easy time getting in. 
The day of the appointment the receptionist and groomers were ridiculously nice and my dog was groomed and ready in three hours. They listened to what I wanted instead of taking their own liberties. We will be back.",5.0
76,eXuAvk_wUgchM7t2ruGubQ,HRSqPEy-mD08TWGfqSPObg,yBeND4UKlYhsAdUOQ5DM5g,"I had a massage with Mesha today, and she was absolutely amazing! Be sure to request her if you come here to get a massage! I can honestly say that it was the best massage I've ever had! She paid special attention to all my ""problem areas"" and worked out a lot of my knots. I was so relaxed by the end of my massage that I didn't want to get up! Thank you Mesha! I will be back",5.0
82,DtSq9MGfG5svRZYN6ipklA,wvjGYAnSoujqefr0YJ4_tA,ixyQUGEg7QhaW1UgGAmrfw,Citywide Alarms is the best alarm system company in St. Louis! The set up and install for my alarms was a painless process and I love knowing that my business is safe and secure with their help. What I loved most was that they treat you like family! I also really enjoy how easy it is to control my security system with the convenience of the alarm app. I recommend Citywide Alarms to anyone who wants the piece of mind of having their home or business safe and secure. Thanks guys!,5.0
47,_wCW4K3aFOiN8YonbsTQcQ,IuwMJ9oerj6IHWtOLYY2oQ,N-qRkovANjynzTKoI8CO-g,"A great way to beat the heat and get a feel of what early living was like in the mid 19th century. Although you couldn't actually enter the rooms, you got a excellent view of each room from an apartment from this period looked like. Each room is staged in beautifully maintained antiquities from the period and there are descriptions of some of the items that may be harder to identify. The lady at the desk was very friendly and we enjoyed it very much. It could take you 15 min to walk through it all, but if you want to take your time, you could certainly do so. This museum is not crowded at all.",5.0
54,2X6a9Ph20Vn9NMLiAC20Bg,2jzUtEPlWqoVw57Z8dSHcw,pWT3WAUvww4iqF-v2htBXA,"I do not give 5 star reviews very often, and when I do you can be assured it is deserved. The prices are what you would expect for an Italian restaurant, and the atmosphere is very nice. You can feel comfortable bringing a date here or just pulling up to their bar for a nice bite and cocktail. I came during their happy hour and they have several items on special. I had the crispy Polenta with Bolognese sauce, Margherita flatbread, and sampled the meatball sliders.

First off the Bolognese sauce is stunning. I would have happily eaten a plate of anything with this sauce on it. I am not typically a Polenta fan but it was a shared appetizer and very tasty.

The flatbread was extremely tasty and probably the best Margherita pizza/flatbread I have eaten.

The meatball sliders were delicious and I wish I had room in my stomach to eat more of them.

I had an Italian margarita that was tasty and strong, along with a few beers. They have a full bar of course and can whip up pretty much anything you might want. The southern cucumber is also much tastier than cucumber based drinks I have tried at other places.

I will most certainly return and try more of their dishes, based on this trip there is no doubt I will love anything I eat here. Do yourself a favor and try this place, you will not be disappointed!",5.0
